timestamp,attempt,model,user_story,score_final,cobertura,clareza,estrutura,executabilidade,aprovado,input_tokens,output_tokens,total_tokens,duration_s
2026-04-07T17:03:34.465923,1,gemini-2.5-flash,"Minds videos don't load when embedded. <!---
Please read this!

Before opening a new issue, make sure to search for keywords in the issues
filtered by the ""T - Bug"" label and verify the issue you're a",4.96,0.0,9.1,7.4,4.61,False,653,553,1206,17.91
2026-04-07T17:03:53.880240,1,gemini-2.5-flash,"Channel pages: Implement channel recommendations component. Implement the new channel recommendations component on Channel pages. See this design prototype for visual and interaction spec.

- [For cha",3.47,0.0,8.66,3.5,3.43,False,680,161,841,19.41
2026-04-07T17:04:13.032323,1,gemini-2.5-flash,"Boost console: Activity posts do not appear for rejected Boosts. <!---
Please read this!

Before opening a new issue, make sure to search for keywords in the issues
filtered by the ""T - Bug"" label and",2.01,0.0,7.67,0.0,2.4,False,656,164,820,19.15
2026-04-07T17:04:27.865605,1,gemini-2.5-flash,"Register modal improvements. We can improve the user experience with the Register modal -- and possibly improve signup conversions -- by addressing these UX issues with the production modal.

[This Fi",5.74,0.0,9.47,8.36,6.67,False,654,868,1522,14.83
2026-04-07T17:04:42.562173,1,gemini-2.5-flash,"(bug): Images Library Has Disappeared. ### Summary

The image library that was once available on a channel's left sidebar, under the Bio, has disappeared; making it impossible to browse a channels upl",5.88,2.31,9.24,8.08,4.59,False,642,595,1237,14.69
2026-04-07T17:04:59.695477,1,gemini-2.5-flash,"Top post push notification are undescriptive. <!---
Please read this!

Before opening a new issue, make sure to search for keywords in the issues
filtered by the ""T - Bug"" label and verify the issue y",4.5,0.0,9.28,5.6,4.81,False,649,853,1502,17.13
2026-04-07T17:05:11.558778,1,gemini-2.5-flash,Bug Triage and Customer Support. Is this a bug? Make sure to use the Bug template above and be as detailed in your report as possible.,6.05,1.25,9.01,8.57,6.53,False,599,1373,1972,11.86
2026-04-07T17:05:30.175168,1,gemini-2.5-flash,"Show toast message before launching modal if email verification is required to complete modal actions. <!---
Please read this!

The Definition of Ready (DoR) can be found at https://developers.minds.c",5.34,0.0,9.28,8.0,5.4,False,666,571,1237,18.61
2026-04-07T17:05:43.558553,1,gemini-2.5-flash,(bug): subscribed blog post duplicates filling feed,6.93,7.5,9.44,6.8,3.76,False,578,858,1436,13.38
2026-04-07T17:05:54.643952,1,gemini-2.5-flash,"Permaweb spec tests. <!---
Please read this!

Before opening a new issue, make sure to search for keywords in the issues
filtered by the ""T - Bug"" label and verify the issue you're about to submit isn",4.68,0.0,6.03,8.5,4.62,False,650,618,1268,11.08
