story_id,title,model,score_final,cobertura,clareza,estrutura,executabilidade,tentativas,tokens_usados,tokens_research,tempo_segundos,aprovado,convergiu,feature_file
1,Minds videos don't load when embedded,flash,4.41,0.0,8.8,5.83,4.49,1,5422,0,15.82,False,False,results\features\001_minds_videos_dont_load_when_embedded.feature
2,Permaweb spec tests,flash,4.57,0.0,9.37,6.08,4.37,1,5214,0,19.2,False,False,results\features\002_permaweb_spec_tests.feature
3,Email: Automate bring your friends post for 7 days after registration,flash,6.05,5.0,9.4,6.0,4.33,1,5056,0,15.22,False,False,results\features\003_email_automate_bring_your_friends_post_for_7_days_.feature
4,Add definition for each report reason,flash,7.39,10.0,8.82,5.64,4.65,1,5532,0,18.14,True,True,results\features\004_add_definition_for_each_report_reason.feature
5,Update content policy to reflect current practice on token manipulation,flash,5.36,3.33,8.91,5.67,4.4,1,4713,0,14.61,False,False,results\features\005_update_content_policy_to_reflect_current_practice_.feature
6,Remove 401s / 404s from sitemaps,flash,5.15,0.0,9.45,7.08,5.69,1,4946,0,13.35,False,False,results\features\006_remove_401s_404s_from_sitemaps.feature
7,(bug): Cant delete a reply to a comment on a blog post,flash,3.48,3.57,8.46,0.0,3.6,1,4523,0,17.35,False,False,results\features\007_bug_cant_delete_a_reply_to_a_comment_on_a_blog_pos.feature
8,Documentation on &26 and &30,flash,3.45,0.0,8.81,3.5,3.17,1,4466,0,19.75,False,False,results\features\008_documentation_on_26_and_30.feature
9,Discontinue holding rewards,flash,2.39,0.0,4.7,3.5,2.0,1,4559,0,19.75,False,False,results\features\009_discontinue_holding_rewards.feature
10,Add metrics to GrowthBook,flash,5.23,1.43,9.32,6.5,4.92,1,5368,0,19.4,False,False,results\features\010_add_metrics_to_growthbook.feature
11,Switch out arweave remote config for local node,flash,4.47,0.0,9.24,6.58,3.24,1,5000,0,16.94,False,False,results\features\011_switch_out_arweave_remote_config_for_local_node.feature
12,"Since video is unsupported, only posts title, description and reference minds link",flash,7.32,9.0,8.96,6.22,4.82,1,5586,0,16.26,True,True,results\features\012_since_video_is_unsupported_only_posts_title_descri.feature
13,Boost inventory: Add boosts to Discovery,flash,4.5,0.0,9.35,5.67,4.64,1,5126,0,19.95,False,False,results\features\013_boost_inventory_add_boosts_to_discovery.feature
14,"(bug) Posts showing up in wrong feeds, with out of place timestamps",flash,4.47,6.67,8.96,0.0,3.4,1,4597,0,21.14,False,False,results\features\014_bug_posts_showing_up_in_wrong_feeds_with_out_of_pl.feature
15,Homepage: Copy / image updates,flash,4.28,0.0,7.83,6.31,4.1,1,5026,0,14.86,False,False,results\features\015_homepage_copy_image_updates.feature
16,Show posts from subscribed Groups in Newsfeed,flash,3.84,0.62,8.96,4.25,2.93,1,4818,0,19.84,False,False,results\features\016_show_posts_from_subscribed_groups_in_newsfeed.feature
17,Land newly-registered users on Discovery,flash,5.97,5.0,9.03,6.38,3.75,1,4839,0,16.2,False,False,results\features\017_land_newly_registered_users_on_discovery.feature
18,Captcha failures,flash,2.53,0.0,8.46,0.0,4.17,1,4501,0,19.27,False,False,results\features\018_captcha_failures.feature
19,Change contact info for p/contact page,flash,7.02,10.0,8.07,5.62,3.6,1,4629,0,8.04,True,True,results\features\019_change_contact_info_for_pcontact_page.feature
20,Open Graph image for About page,flash,6.74,6.43,8.14,7.07,5.31,1,5268,0,18.0,False,False,results\features\020_open_graph_image_for_about_page.feature
21,Add Popular Channels module,flash,7.68,10.0,9.05,6.43,4.69,1,5126,0,16.39,True,True,results\features\021_add_popular_channels_module.feature
22,(feat): admin tools for help desk,flash,2.89,1.67,8.46,0.0,3.5,1,4453,0,19.06,False,False,results\features\022_feat_admin_tools_for_help_desk.feature
23,"(feat): As moderators, we should be able to simultaneously manage the queue.",flash,4.4,0.94,9.34,4.67,4.25,1,5295,0,19.18,False,False,results\features\023_feat_as_moderators_we_should_be_able_to_simultaneo.feature
24,YouTube sync double-posts when video is edited on YouTube,flash,4.81,5.0,8.31,3.5,3.0,1,4520,0,19.24,False,False,results\features\024_youtube_sync_double_posts_when_video_is_edited_on_.feature
25,NIP-26 working prototype,flash,3.05,0.0,8.64,2.33,3.11,1,4701,0,19.26,False,False,results\features\025_nip_26_working_prototype.feature
