timestamp,attempt,model,user_story,score_final,cobertura,clareza,estrutura,executabilidade,aprovado,input_tokens,output_tokens,total_tokens,duration_s
2026-04-07T23:15:18.856339,1,gemini-2.5-flash,Fix local stack installer issues. TBD,7.38,8.0,7.82,7.94,5.16,True,2630,925,3555,13.16
2026-04-07T23:15:55.100848,1,gemini-2.5-flash,(bug): subscribed blog post duplicates filling feed,7.9,9.17,8.08,7.44,6.48,True,2033,1197,3230,17.98
2026-04-07T23:16:32.416196,1,gemini-2.5-flash,"Email: Automate bring your friends post for 7 days after registration. ## Summary

Send users an email one week after they sign up asking them to refer their friends.

## Conditions
- User has signed ",6.16,3.2,8.82,7.3,6.22,False,2523,767,3290,18.12
2026-04-07T23:16:50.585647,2,gemini-2.5-flash,"Email: Automate bring your friends post for 7 days after registration. ## Summary

Send users an email one week after they sign up asking them to refer their friends.

## Conditions
- User has signed ",5.52,1.2,7.62,8.5,5.43,False,1403,162,1565,18.17
2026-04-07T23:17:10.011198,3,gemini-2.5-flash,"Email: Automate bring your friends post for 7 days after registration. ## Summary

Send users an email one week after they sign up asking them to refer their friends.

## Conditions
- User has signed ",5.52,1.2,7.62,8.5,5.43,False,1403,163,1566,19.42
2026-04-07T23:17:46.385315,1,gemini-2.5-flash,"Add button/link to open edit channel from inside settings. 1. Add ""Profile Settings"" under ""Display Name"" in Settings
2. Should spawn the same modal as ""Edit Channel"" button on channel",6.35,4.2,7.38,8.5,5.33,False,2758,162,2920,16.53
2026-04-07T23:18:01.302155,2,gemini-2.5-flash,"Add button/link to open edit channel from inside settings. 1. Add ""Profile Settings"" under ""Display Name"" in Settings
2. Should spawn the same modal as ""Edit Channel"" button on channel",7.84,8.0,7.38,8.5,7.09,True,757,513,1270,14.91
2026-04-07T23:18:39.356128,1,gemini-2.5-flash,"Spike: Create NIP for Delegated Event Signing. <!---
Please read this!

The Definition of Ready (DoR) can be found at https://developers.minds.com/docs/handbook/how-we-work/#definition-of-ready-dor

B",4.42,0.8,7.0,7.0,3.4,False,2399,162,2561,17.41
2026-04-07T23:18:51.999835,2,gemini-2.5-flash,"Spike: Create NIP for Delegated Event Signing. <!---
Please read this!

The Definition of Ready (DoR) can be found at https://developers.minds.com/docs/handbook/how-we-work/#definition-of-ready-dor

B",5.52,2.4,7.38,7.6,5.24,False,811,549,1360,12.64
2026-04-07T23:19:09.258879,3,gemini-2.5-flash,"Spike: Create NIP for Delegated Event Signing. <!---
Please read this!

The Definition of Ready (DoR) can be found at https://developers.minds.com/docs/handbook/how-we-work/#definition-of-ready-dor

B",3.46,0.0,6.94,4.25,4.0,False,1196,164,1360,17.26
2026-04-07T23:19:49.512552,1,gemini-2.5-flash,Fix time spent in growthbook,6.62,7.33,8.25,5.67,5.35,False,2046,426,2472,19.46
2026-04-07T23:20:01.210657,2,gemini-2.5-flash,Fix time spent in growthbook,7.7,7.78,8.25,8.5,5.85,True,1008,451,1459,11.7
2026-04-07T23:20:27.797048,1,gemini-2.5-flash,Discovery: Implement channel recommendations component - web. Implement the new channel recommendations component on [Discover / Top page](https://www.minds.com/discovery/top). See this design prototy,7.09,6.2,8.5,8.12,5.46,True,820,416,1236,6.61
2026-04-07T23:21:02.482345,1,gemini-2.5-flash,"Add Popular Channels module. Add the Popular Channels module to the right rail on desktop view. It is expected that this is a static list for now, as we aren't able to produce recommendations for the ",6.46,3.6,7.18,8.5,6.99,False,2205,886,3091,15.01
2026-04-07T23:21:19.076647,2,gemini-2.5-flash,"Add Popular Channels module. Add the Popular Channels module to the right rail on desktop view. It is expected that this is a static list for now, as we aren't able to produce recommendations for the ",3.84,1.2,7.38,3.5,4.75,False,1536,162,1698,16.59
2026-04-07T23:21:36.108502,3,gemini-2.5-flash,"Add Popular Channels module. Add the Popular Channels module to the right rail on desktop view. It is expected that this is a static list for now, as we aren't able to produce recommendations for the ",5.87,2.0,6.62,8.5,7.0,False,1536,162,1698,17.03
2026-04-07T23:22:12.108365,1,gemini-2.5-flash,Upgrade to Angular 13. Upgrade to the latest version of Angular. Version 13.,7.52,9.67,7.22,6.5,6.11,True,2454,769,3223,19.09
2026-04-07T23:22:49.196566,1,gemini-2.5-flash,Bug Triage and Customer Support. Is this a bug? Make sure to use the Bug template above and be as detailed in your report as possible.,5.05,6.0,8.25,0.0,8.0,False,1976,161,2137,16.95
2026-04-07T23:23:01.095752,2,gemini-2.5-flash,Bug Triage and Customer Support. Is this a bug? Make sure to use the Bug template above and be as detailed in your report as possible.,8.21,7.33,7.38,10.0,7.66,True,746,368,1114,11.9
